model,modbus_address,parameter,parameter_manual_reference,unit,register_length,data_type,r_w,indb,setup_read,setup_write,timestamp,read_command,write_command,value_weight,address
acurev-1313-5a-x0,4207,kwh_exported_l2,total_watt_hours_exported_in_phase_b,Wh,2,acc32,r,f,f,f,f,3,NULL,NULL,NULL
acurev-1313-5a-x0,4209,kwh_exported_l3,total_watt_hours_exported_in_phase_c,Wh,2,acc32,r,f,f,f,f,3,NULL,NULL,NULL
acurev-1313-5a-x0,4211,kwh_imported_total,total_real_energy_imported,Wh,2,acc32,r,f,f,f,f,3,NULL,NULL,NULL
acurev-1313-5a-x0,4213,kwh_imported_l1,total_watt_hours_imported_phase_a,Wh,2,acc32,r,f,f,f,f,3,NULL,NULL,NULL
acurev-1313-5a-x0,4215,kwh_imported_l2,total_watt_hours_imported_phase_b,Wh,2,acc32,r,f,f,f,f,3,NULL,NULL,NULL
acurev-1313-5a-x0,4217,kwh_imported_l3,total_watt_hours_imported_phase_c,Wh,2,acc32,r,f,f,f,f,3,NULL,NULL,NULL
acurev-1313-5a-x0,4219,kw_dmd,totwh_sf,Wh,1,sunssf,r,t,t,f,f,3,NULL,NULL,NULL
acurev-1313-5a-x0,4220,vah_exported_total,total_va_hours_exported,VAh,2,acc32,r,f,f,f,f,3,NULL,NULL,NULL
acurev-1313-5a-x0,4222,vah_exported_l1,total_va_hours_exported_phase_a,VAh,2,acc32,r,f,f,f,f,3,NULL,NULL,NULL
acurev-1313-5a-x0,4224,vah_exported_l2,total_va_hours_exported_phase_b,VAh,2,acc32,r,f,f,f,f,3,NULL,NULL,NULL
acurev-1313-5a-x0,4226,vah_exported_l3,total_va_hours_exported_phase_c,VAh,2,acc32,r,f,f,f,f,3,NULL,NULL,NULL
acurev-1313-5a-x0,4228,vah_imported_total,total_va_hours_imported,VAh,2,acc32,r,f,f,f,f,3,NULL,NULL,NULL
acurev-1313-5a-x0,4230,vah_imported_l1,total_va_hours_imported_phase_a,VAh,2,acc32,r,f,f,f,f,3,NULL,NULL,NULL
acurev-1313-5a-x0,4232,vah_imported_l2,total_va_hours_imported_phase_b,VAh,2,acc32,r,f,f,f,f,3,NULL,NULL,NULL
acurev-1313-5a-x0,4234,vah_imported_l3,total_va_hours_imported_phase_c,VAh,2,acc32,r,t,f,f,f,3,NULL,NULL,NULL
acurev-1313-5a-x0,4237,varh_imported_q1,total_var_hours_imported_q1,VARh,2,bitfield32,r,t,f,f,f,3,NULL,NULL,NULL
acurev-1313-5a-x0,4239,varh_imported_q1_l1,total_var_hours_imported_q1_phase_a,VARh,2,acc32,r,t,f,f,f,3,NULL,NULL,NULL
acurev-1313-5a-x0,4241,varh_imported_q1_l2,total_var_hours_imported_q1_phase_b,VARh,2,acc32,r,t,f,f,f,3,NULL,NULL,NULL
acurev-1313-5a-x0,4243,varh_imported_q1_l3,total_var_hours_imported_q1_phase_c,VARh,2,acc32,r,t,f,f,f,3,NULL,NULL,NULL
acurev-1313-5a-x0,4245,varh_imported_q2,total_var_hours_imported_q2,VARh,2,acc32,r,t,f,f,f,3,NULL,NULL,NULL
acurev-1313-5a-x0,4247,varh_imported_q2_l1,total_var_hours_imported_q2_phase_a,VARh,2,acc32,r,t,f,f,f,3,NULL,NULL,NULL
acurev-1313-5a-x0,4249,varh_imported_q2_l2,total_var_hours_imported_q2_phase_b,VARh,2,acc32,r,t,f,f,f,3,NULL,NULL,NULL
acurev-1313-5a-x0,4251,varh_imported_q2_l3,total_var_hours_imported_q2_phase_c,VARh,2,acc32,r,t,f,f,f,3,NULL,NULL,NULL
acurev-1313-5a-x0,4253,vah_exported_q3,total_var_hours_exported_q3,VARh,2,acc32,r,t,f,f,f,3,NULL,NULL,NULL
acurev-1313-5a-x0,4255,vah_exported_q3_l1,total_var_hours_exported_q3_phase_a,VARh,2,acc32,r,t,f,f,f,3,NULL,NULL,NULL
acurev-1313-5a-x0,4257,vah_exported_q3_l2,total_var_hours_exported_q3_phase_b,VARh,2,acc32,r,t,f,f,f,3,NULL,NULL,NULL
acurev-1313-5a-x0,4259,vah_exported_q3_l3,total_var_hours_exported_q3_phase_c,VARh,2,acc32,r,t,f,f,f,3,NULL,NULL,NULL
acurev-1313-5a-x0,4261,varh_exported_q4,total_var_hours_exported_q4,VARh,2,acc32,r,t,f,f,f,3,NULL,NULL,NULL
acurev-1313-5a-x0,4263,varh_exported_q4_l1,total_var_hours_exported_q4_phase_a,VARh,2,acc32,r,t,f,f,f,3,NULL,NULL,NULL
acurev-1313-5a-x0,4265,varh_exported_q4_l2,total_var_hours_exported_q4_phase_b,VARh,2,acc32,r,t,f,f,f,3,NULL,NULL,NULL
acurev-1313-5a-x0,4267,varh_exported_q4_l3,total_var_hours_exported_q4_phase_c,VARh,2,acc32,r,t,f,f,f,3,NULL,NULL,NULL
acurev-1313-5a-x0,4269,varh_imported_total,totvarh_sf,VARh,1,sunssf,r,t,t,f,f,3,NULL,NULL,NULL
EM210-72D.MV5.3.X.OS.X,0,voltage_l1,V L1-N,V,1,int32,r,t,f,f,f,3,NULL,10,NULL
EM210-72D.MV5.3.X.OS.X,2,voltage_l2,V L2-N,V,1,int32,r,t,f,f,f,3,NULL,10,NULL
EM210-72D.MV5.3.X.OS.X,4,voltage_l3,V L3-N,V,1,int32,r,t,f,f,f,3,NULL,10,NULL
EM210-72D.MV5.3.X.OS.X,6,voltage_l1-l2,V L1-L2,V,1,int32,r,t,f,f,f,3,NULL,10,NULL
EM210-72D.MV5.3.X.OS.X,8,voltage_l2-l3,V L2-L3,V,1,int32,r,t,f,f,f,3,NULL,10,NULL
EM210-72D.MV5.3.X.OS.X,10,voltage_l3-l1,V L3-L1,V,1,int32,r,t,f,f,f,3,NULL,10,NULL
EM210-72D.MV5.3.X.OS.X,12,current_l1,A L1,A,1,int32,r,t,f,f,f,3,NULL,1000,NULL
EM210-72D.MV5.3.X.OS.X,14,current_l2,A L2,A,1,int32,r,t,f,f,f,3,NULL,1000,NULL
EM210-72D.MV5.3.X.OS.X,16,current_l3,A L3,A,1,int32,r,t,f,f,f,3,NULL,1000,NULL
EM210-72D.MV5.3.X.OS.X,18,watts_l1,W L1,W,1,int32,r,t,f,f,f,3,NULL,10,NULL
EM210-72D.MV5.3.X.OS.X,20,watts_l2,W L2,W,1,int32,r,t,f,f,f,3,NULL,10,NULL
EM210-72D.MV5.3.X.OS.X,22,watts_l3,W L3,W,1,int32,r,t,f,f,f,3,NULL,10,NULL
EM210-72D.MV5.3.X.OS.X,24,va_l1,VA L1,VA,1,int32,r,t,f,f,f,3,NULL,10,NULL
EM210-72D.MV5.3.X.OS.X,26,va_l2,VA L2,VA,1,int32,r,t,f,f,f,3,NULL,10,NULL
EM210-72D.MV5.3.X.OS.X,28,va_l3,VA L3,VA,1,int32,r,t,f,f,f,3,NULL,10,NULL
EM210-72D.MV5.3.X.OS.X,30,var_l1,VAR L1,VAR,1,int32,r,t,f,f,f,3,NULL,10,NULL
EM210-72D.MV5.3.X.OS.X,32,var_l2,VAR L2,VAR,1,int32,r,t,f,f,f,3,NULL,10,NULL
EM210-72D.MV5.3.X.OS.X,34,var_l3,VAR L3,VAR,1,int32,r,t,f,f,f,3,NULL,10,NULL
EM210-72D.MV5.3.X.OS.X,36,voltage_ln,V L-N _,V,1,int32,r,t,f,f,f,3,NULL,10,NULL
EM210-72D.MV5.3.X.OS.X,38,voltage_ll,V L-L _,V,1,int32,r,t,f,f,f,3,NULL,10,NULL
